X-axis well locations,Y-axis well locations,Layer of perforations,Injection/Production rates,Result
12,21,6,20000,0.836596474
25,47,7,10000,0.865496745
7,9,4,5000,0.843770212
11,38,6,30000,0.788971499
27,20,5,10000,0.853856595
14,8,2,30000,0.725567738
3,47,7,20000,0.830401128
46,17,1,5000,0.70107227
17,28,4,5000,0.854132811
12,27,1,10000,0.704552716
1,44,5,20000,0.81096386
42,24,7,20000,0.849797039
16,43,7,20000,0.839419264
29,20,7,5000,0.894684705
3,8,2,10000,0.780085074
34,42,2,10000,0.775857805
24,20,1,5000,0.716004871
15,46,5,30000,0.77619294
25,7,4,20000,0.812997869
15,42,5,10000,0.841647149
20,46,6,10000,0.855782518
40,10,3,30000,0.750198368
43,7,4,5000,0.84365581
12,31,6,5000,0.88112227
45,3,8,5000,0.895768189
39,41,7,30000,0.792778238
47,45,6,5000,0.871389724
41,25,8,5000,0.905975006
44,44,5,10000,0.838412872
30,35,4,30000,0.780163834
23,31,2,5000,0.791025931
12,38,3,10000,0.807868764
32,12,6,20000,0.840432124
45,10,5,10000,0.840415569
25,41,1,10000,0.702996145
26,10,8,10000,0.883527043
38,40,8,30000,0.800060595
24,42,4,20000,0.813995739
42,6,3,10000,0.805443677
49,40,4,30000,0.763625915
21,1,1,20000,0.703536652
38,11,6,30000,0.788984343
23,13,5,10000,0.847926827
23,6,6,10000,0.854050072
20,29,6,10000,0.863873236
1,16,4,30000,0.762210993
39,18,1,20000,0.69929058
14,35,6,20000,0.840170191
43,34,7,30000,0.797602865
49,31,6,10000,0.862265708
33,40,3,30000,0.755863231
28,26,4,20000,0.82715952
28,25,2,5000,0.796555504
14,12,4,30000,0.770286951
47,13,7,20000,0.838603228
16,4,8,10000,0.880833217
40,37,4,30000,0.770208914
11,8,2,30000,0.725073573
14,46,1,20000,0.691800204
8,24,3,30000,0.75717011
21,11,1,5000,0.699484272
30,20,8,20000,0.867468631
26,46,2,10000,0.785670224
33,23,3,30000,0.76688976
41,24,5,5000,0.869486481
44,36,6,5000,0.87914721
9,38,7,30000,0.789384543
48,5,8,5000,0.894956591
44,13,1,20000,0.688334504
40,13,5,30000,0.777455694
4,40,1,20000,0.692036216
29,42,7,10000,0.859964653
32,50,5,10000,0.852088308
42,43,6,20000,0.81893768
24,48,1,20000,0.703945099
19,27,3,10000,0.824315702
49,1,6,30000,0.770516414
48,4,8,30000,0.79497602
10,28,1,20000,0.701243551
42,16,4,10000,0.828372679
31,38,3,20000,0.7961289
12,29,5,30000,0.788850365
46,46,5,10000,0.842106284
42,32,5,30000,0.782711372
43,4,3,30000,0.745573524
13,24,6,20000,0.843947601
30,49,4,20000,0.809612221
32,26,6,10000,0.864102779
32,33,5,10000,0.848595983
47,44,7,10000,0.859843681
3,49,7,20000,0.828789429
36,35,2,30000,0.735031673
13,22,5,5000,0.869431664
15,16,2,10000,0.78137115
26,37,3,5000,0.831541736
25,8,4,30000,0.773206975
46,29,5,10000,0.846197248
17,40,8,10000,0.880304048
32,15,5,20000,0.831948662
39,15,5,30000,0.781553031
39,40,8,20000,0.852072632
47,9,4,30000,0.762456424
49,5,8,30000,0.793808604
42,1,6,5000,0.87479817
42,15,1,10000,0.693677377
38,14,6,30000,0.79031442
31,4,3,20000,0.79178134
36,31,7,10000,0.869234914
18,15,3,30000,0.762221893
28,29,3,20000,0.80681592
4,6,6,20000,0.81529287
46,30,3,30000,0.75449041
33,34,4,10000,0.836561663
14,9,4,20000,0.791711652
